iter	Logloss
0	0.6629710743
1	0.6359193246
2	0.6124613919
3	0.5931547383
4	0.5755383131
5	0.5600229086
6	0.5443549287
7	0.5316801114
8	0.5210596564
9	0.5130886502
10	0.5033289936
11	0.4959987814
12	0.4883444623
13	0.4811265859
14	0.4759682643
15	0.4693146941
16	0.4644578196
17	0.4600144527
18	0.4557586582
19	0.4521294062
20	0.4475132441
21	0.4432697867
22	0.4398043837
23	0.4365491253
24	0.4341296156
25	0.4291581783
26	0.4264919004
27	0.4238364019
28	0.421855731
29	0.4196155919
30	0.4168476638
31	0.4151791568
32	0.4123714333
33	0.4105966903
34	0.4089475587
35	0.4074499327
36	0.4055804338
37	0.4030155934
38	0.4012785189
39	0.3987083482
40	0.3973603821
41	0.3955112221
42	0.3937103284
43	0.3926207545
44	0.3908133732
45	0.389468066
46	0.3878129847
47	0.3865775421
48	0.3852644667
49	0.3843216499
50	0.3829283454
51	0.3821429526
52	0.3807267693
53	0.3795623592
54	0.3783262909
55	0.3770098497
56	0.375926094
57	0.3747616401
58	0.3719581332
59	0.3712491219
60	0.369890195
61	0.3689053681
62	0.367628103
63	0.3664688792
64	0.365130604
65	0.3647281448
66	0.364073706
67	0.3631313585
68	0.3615247375
69	0.361016937
70	0.3603320871
71	0.3590964442
72	0.3574141737
73	0.3566160495
74	0.3561954412
75	0.3557976554
76	0.3552701605
77	0.3546914214
78	0.353571161
79	0.3532182882
80	0.3523611934
81	0.3515154787
82	0.3511951755
83	0.3511080208
84	0.3494519323
85	0.3488384214
86	0.348455225
87	0.3475399666
88	0.347041857
89	0.3469247665
90	0.3460028266
91	0.3450457896
92	0.3446526584
93	0.3438586508
94	0.3436371137
95	0.3427852992
96	0.3422646423
97	0.3414547628
98	0.3410788548
99	0.3408508989
100	0.3395873723
101	0.3384471485
102	0.3372855849
103	0.3371448337
104	0.3370458424
105	0.3353356568
106	0.3352679714
107	0.3348028192
108	0.3342323131
109	0.333614523
110	0.3333229418
111	0.3332225054
112	0.3331492582
113	0.3330726639
114	0.3329820121
115	0.3329128502
116	0.3327615761
117	0.3323643158
118	0.3318296513
119	0.3307817435
120	0.3304852888
121	0.3301721427
122	0.3300997338
123	0.3291097956
124	0.3287997525
125	0.3287103457
126	0.3279204046
127	0.327820331
128	0.3277587202
129	0.3267962654
130	0.3263882445
131	0.3261110025
132	0.3259624874
133	0.3257625341
134	0.325698521
135	0.3256299909
136	0.3255807674
137	0.3251375055
138	0.3249629022
139	0.3243410205
140	0.324074977
141	0.3240157624
142	0.3231402308
143	0.3230838502
144	0.3230120357
145	0.3226795893
146	0.322622045
147	0.3225599025
148	0.321927229
149	0.321868615
150	0.3218074234
151	0.3216787341
152	0.3215362499
153	0.3214742137
154	0.3211985921
155	0.3211480861
156	0.3210238386
157	0.3209119033
158	0.3208357845
159	0.3202287612
160	0.3201883839
161	0.3201361574
162	0.3200860143
163	0.3200064796
164	0.3199559548
165	0.3193422813
166	0.319208856
167	0.3184376021
168	0.3183735515
169	0.3183169269
170	0.3182721015
171	0.318121722
172	0.3176935312
173	0.3168812932
174	0.3168194072
175	0.3165634362
